t,track,leaf,support_samples,centroid_x,centroid_y,peak_x,peak_y,centroid_anchor_x,centroid_anchor_y,peak_anchor_x,peak_anchor_y
32,8,84,2,8.076923076923077,96.92307692307692,0.0,96.92307692307692,9.784205408217563,100.75343406593406,3.4834929522062716,100.75343406593406
32,13,87,2,56.53846153846153,96.92307692307692,48.46153846153846,96.92307692307692,54.083104395604394,96.6740331113131,46.901995927759586,97.45811591494305
33,7,0,2,8.076923076923077,0.0,0.0,0.0,5.621565934065934,0.26785714285714285,0.2678571428571422,0.26785714285714485
33,4,5,1,80.76923076923077,0.0,80.76923076923077,0.0,83.22458791208791,2.9296324036344235,84.73351648351648,2.9618191713156543
33,14,48,3,96.92307692307692,48.46153846153846,96.92307692307692,48.46153846153846,99.37843406593406,47.77439180720439,100.88736263736263,47.6178879443516
33,11,75,1,80.76923076923077,80.76923076923077,80.76923076923077,80.76923076923077,78.31387362637363,78.60325471928267,76.89621410735482,78.43716494110001
33,8,84,2,8.076923076923077,96.92307692307692,0.0,96.92307692307692,10.16982382369619,100.75343406593406,3.964285714285715,100.75343406593406
33,13,88,2,56.53846153846153,96.92307692307692,64.61538461538461,96.92307692307692,54.083104395604394,96.76391752086002,60.6510989010989,96.8063533082465
34,7,0,2,8.076923076923077,0.0,0.0,0.0,1.6500686813186807,0.2678571428571429,0.2678571428571429,0.2678571428571429
34,4,5,1,80.76923076923077,0.0,80.76923076923077,0.0,87.19608516483517,2.0803571428571432,84.59958791208791,2.0803571428571432
34,14,48,3,96.92307692307692,48.46153846153846,96.92307692307692,48.46153846153846,103.34993131868131,46.14715956722593,100.75343406593406,46.13262892834893
34,11,75,1,80.76923076923077,80.76923076923077,80.76923076923077,80.76923076923077,78.43217050555032,77.18926156716624,78.26150493093013,77.17392276048581
34,8,84,1,0.0,96.92307692307692,0.0,96.92307692307692,2.926854395604395,100.75343406593406,2.566640198627562,100.75343406593406
34,13,88,2,56.53846153846153,96.92307692307692,64.61538461538461,96.92307692307692,54.684324992850016,95.72520411387565,60.78502747252747,95.72745215226993
34,15,100,1,32.30769230769231,113.07692307692307,32.30769230769231,113.07692307692307,31.440418014762322,116.9072802197802,31.384532744131626,116.9072802197802
35,7,0,2,8.076923076923077,0.0,0.0,0.0,1.6500686813186807,0.2678571428571429,0.26785714285714335,0.2678571428571429
35,14,34,5,93.6923076923077,32.30769230769231,96.92307692307692,32.30769230769231,100.11916208791209,31.00087276982288,100.75343406593406,30.99975499815718
35,11,75,1,80.76923076923077,80.76923076923077,80.76923076923077,80.76923076923077,82.21560814475129,78.4478021978022,82.02383276029867,78.4478021978022
35,8,84,1,0.0,96.92307692307692,0.0,96.92307692307692,5.4793993099298826,99.24450549450549,3.830357142857143,99.24450549450549
35,13,88,1,64.61538461538461,96.92307692307692,64.61538461538461,96.92307692307692,65.76057521811076,94.60164835164835,65.43790808542461,94.60164835164835
35,15,100,1,32.30769230769231,113.07692307692307,32.30769230769231,113.07692307692307,35.29561707106862,115.39835164835164,35.11219549279985,115.39835164835164
36,7,0,2,8.076923076923077,0.0,0.0,0.0,5.68853021978023,0.2678571428571428,0.2678571428571429,0.2678571428571429
36,14,20,2,96.92307692307692,24.23076923076923,96.92307692307692,16.153846153846153,99.31146978021977,25.92985933233136,99.31146978021977,18.171703296703296
36,16,62,1,96.92307692307692,64.61538461538461,96.92307692307692,64.61538461538461,97.94442503257726,63.582829312234615,98.03468406593406,63.239100801161506
36,11,75,1,80.76923076923077,80.76923076923077,80.76923076923077,80.76923076923077,81.08292797984065,80.23634522956465,81.30688802264788,79.92208079291255
