scene,mode,t,feature,q,x,width,true_measure
collective_growth,RelativeWidth,6,2,62.7,62.700000000077694,5.472972972972974,108
collective_growth,RelativeWidth,7,0,18.4,18.40000000000302,4.718543046357616,95
collective_growth,RelativeWidth,7,1,37.9,37.89999999998588,4.8675496688741715,98
collective_growth,RelativeWidth,7,2,63.2,63.2000000000111,5.413907284768213,109
collective_growth,RelativeWidth,8,0,17.8,17.800000000000434,4.678456591639871,97
collective_growth,RelativeWidth,8,1,37.800000000000004,37.799999999997986,4.871382636655948,101
collective_growth,RelativeWidth,8,2,63.800000000000004,63.800000000001596,5.45016077170418,113
collective_growth,RelativeWidth,9,0,17.3,17.300000000000065,4.716981132075472,100
collective_growth,RelativeWidth,9,1,37.800000000000004,37.79999999999972,4.8584905660377355,103
collective_growth,RelativeWidth,9,2,64.4,64.40000000000023,5.4245283018867925,115
collective_growth,RelativeWidth,10,0,16.7,16.70000000000001,4.678899082568807,102
collective_growth,RelativeWidth,10,1,37.699999999999996,37.69999999999995,4.862385321100917,106
collective_growth,RelativeWidth,10,2,65.0,65.00000000000003,5.458715596330275,119
collective_growth,OldTime,0,0,22.099999999999998,22.100002486210563,4.68,78
collective_growth,OldTime,0,1,38.199999999999996,38.1999883734349,4.859999999999999,81
collective_growth,OldTime,0,2,59.199999999999996,59.20000914035453,5.46,91
collective_growth,OldTime,1,0,21.599999999999998,21.64285779930171,4.859999999999999,81
collective_growth,OldTime,1,1,38.199999999999996,38.17142708339691,4.9799999999999995,83
collective_growth,OldTime,1,2,59.800000000000004,59.685715880025576,5.58,93
collective_growth,OldTime,2,0,21.0,21.091837374856144,4.9799999999999995,83
collective_growth,OldTime,2,1,38.1,38.11020439728577,5.16,86
collective_growth,OldTime,2,2,60.4,60.29795996111221,5.819999999999999,97
collective_growth,OldTime,3,0,20.6,20.61312035405607,5.1,85
collective_growth,OldTime,3,1,38.1,38.04431565096581,5.279999999999999,88
collective_growth,OldTime,3,2,60.99999999999999,60.842566402306744,5.9399999999999995,99
collective_growth,OldTime,4,0,19.900000000000002,20.030447299192033,5.279999999999999,88
collective_growth,OldTime,4,1,38.0,38.03490348863231,5.46,91
collective_growth,OldTime,4,2,61.5,61.43465411745013,6.12,102
collective_growth,OldTime,5,0,19.5,19.547208344574518,5.3999999999999995,90
collective_growth,OldTime,5,1,38.0,37.97641638209144,5.58,93
collective_growth,OldTime,5,2,62.09999999999999,61.97638071714043,6.24,104
collective_growth,OldTime,6,0,18.9,18.99246001265862,5.52,92
collective_growth,OldTime,6,1,37.9,37.9109183178839,5.76,96
collective_growth,OldTime,6,2,62.7,62.5966274483514,6.4799999999999995,108
collective_growth,OldTime,7,0,18.4,18.484639132712054,5.7,95
collective_growth,OldTime,7,1,37.9,37.90156167275733,5.88,98
collective_growth,OldTime,7,2,63.2,63.11380589658642,6.54,109
collective_growth,OldTime,8,0,17.8,17.926379115291066,5.819999999999999,97
collective_growth,OldTime,8,1,37.800000000000004,37.843082348709224,6.06,101
collective_growth,OldTime,8,2,63.800000000000004,63.73054575492318,6.779999999999999,113
collective_growth,OldTime,9,0,17.3,17.389359246633596,6.0,100
collective_growth,OldTime,9,1,37.800000000000004,37.80602457096464,6.18,103
collective_growth,OldTime,9,2,64.4,64.30422133915019,6.8999999999999995,115
collective_growth,OldTime,10,0,16.7,16.82681314398366,6.12,102
collective_growth,OldTime,10,1,37.699999999999996,37.743472854425356,6.359999999999999,106
collective_growth,OldTime,10,2,65.0,64.92891830192227,7.14,119
collective_growth,NoTime,0,0,22.099999999999998,22.100002486210563,4.68,78
collective_growth,NoTime,0,1,38.199999999999996,38.1999883734349,4.859999999999999,81
collective_growth,NoTime,0,2,59.199999999999996,59.20000914035453,5.46,91
collective_growth,NoTime,1,0,21.599999999999998,21.600001633919277,4.859999999999999,81
collective_growth,NoTime,1,1,38.199999999999996,38.19998889247348,4.9799999999999995,83
collective_growth,NoTime,1,2,59.800000000000004,59.80000947360725,5.58,93
collective_growth,NoTime,2,0,21.0,21.000002739129844,4.9799999999999995,83
collective_growth,NoTime,2,1,38.1,38.09998721468791,5.16,86
collective_growth,NoTime,2,2,60.4,60.40001004618225,5.819999999999999,97
collective_growth,NoTime,3,0,20.6,20.600002558140048,5.1,85
