scene,method,distance_nrmse,reference_nmae,trajectory_nmae,growth_log_mae,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift
gaussian2d_advection_diffusion_seed2,ST-MTM,0.37230255086357866,0.10799202827227351,0.034904025168216446,0.016961054356089536,0.10799999364002584,0.1716635316448217,0.03501320761445362,0.035013207614453624,0.003318341084218212,0.01768330616471994,0.017570762947976222,
gaussian2d_advection_diffusion_seed2,RA-MTM,0.3864956964995809,0.07680970152537164,0.0007684739429171113,4.2408567976770503e-17,0.07681621207530474,0.10953401119693953,0.0008253726199420741,8.96860811880562e-05,0.00036023148247235734,0.0013536048301277682,0.0006184215513771625,
gaussian2d_advection_diffusion_seed3,TMTM,0.5843387106011043,0.2202710171485863,0.0314390234379317,6.344209012298929e-17,0.2202710171485863,0.4088904290798452,0.0314390234379317,0.0314390234379317,0.0029329206686904336,6.344209012298929e-17,7.807339844068118e-17,
gaussian2d_advection_diffusion_seed3,ST-MTM,0.38380876078204734,0.11262639239909807,0.03441901870308326,0.01448130170546027,0.11263218534345382,0.17653457508430856,0.03448084480045039,0.03448084480045039,0.0032253619300992367,0.014722195395939858,0.014480787766590217,
gaussian2d_advection_diffusion_seed3,RA-MTM,0.39695606505260433,0.0820043721684851,0.0010207738807047736,4.0980131614520856e-17,0.08199818041980184,0.12046784753457143,0.001117123111752384,8.504128686520156e-05,0.0004835434538474058,0.0011027424606872378,0.0006794660666658809,
gaussian2d_translation_growth_grid49,TMTM,0.7399491907777784,0.1398081567405049,0.04633597647215563,3.6544841227244736e-17,0.1398081567405049,0.22477782571852187,0.04633597647215563,0.046335976472155614,0.004464046057236558,3.6544841227244736e-17,6.938893903907228e-17,
gaussian2d_translation_growth_grid49,ST-MTM,0.03641210611859317,0.06977958455571927,0.051419309805489026,0.32609122398576473,0.06977738379061929,0.1378057077826191,0.05157000197115117,0.05157000197115118,0.004955770404375074,0.32690217028151014,0.32666335425677673,
gaussian2d_translation_growth_grid49,RA-MTM,0.2032601952947101,0.008333333333333333,0.0,4.972873964466847e-17,0.00832729389113082,0.008516347127807217,0.00015498811444964516,8.333241988043452e-05,0.00013775315058002965,0.00556265817254419,0.005354014845918513,
gaussian2d_translation_growth_grid81,TMTM,0.7249175640819542,0.13737166832659753,0.04738862961177628,6.823245672175442e-17,0.13737166832659753,0.21952506077860912,0.04738862961177628,0.047388629611776284,0.0044725731405281955,6.823245672175442e-17,7.28583859910259e-17,
gaussian2d_translation_growth_grid81,ST-MTM,0.03613299833150008,0.07019181945196248,0.052083751562995786,0.29619557969269766,0.07017765994484021,0.13710883330959417,0.05243782556388232,0.05243782556388234,0.004947617014543598,0.2932560892857459,0.2930288080204778,
gaussian2d_translation_growth_grid81,RA-MTM,0.20328481186924607,0.008333333333333333,0.0,5.57424476947214e-17,0.008315011554770881,0.00853259738732381,0.00016555685602123786,7.038515163196645e-05,0.0001732267704594179,0.002085216515362226,0.0011823117425378371,
