scale,crowding,extra_budget,t,tau,budget,reference_max,projection_distortion,geometry_lower_bound,distance_nrmse,global_gap_bound
0.3,0.9,1.0,12,5.125876108303842,6.125876108303842,6.125876108303842,0.9289693536839092,0.702182812479531,0.7550032770859272,0.0
0.3,0.9,1.0,13,5.004101562500011,6.004101562500011,6.004101562500011,0.9272567377609753,0.7059484222534973,0.7577110847873054,0.0
0.3,0.9,1.0,14,4.9532310953993175,5.9532310953993175,5.9532310953993175,0.924862974226275,0.7049968831126096,0.7564121353322224,0.0
0.3,0.9,1.0,15,5.17929067460318,6.17929067460318,6.17929067460318,0.9305348189407395,0.7018270078615563,0.7551261678563405,0.0
0.3,0.9,1.0,16,5.344541386385416,6.344541386385416,6.344541386385416,0.935678249401882,0.7009888773469617,0.755593304262881,0.0
0.3,0.9,1.0,17,5.509579057497675,6.509579057497675,6.509579057497675,0.9412444806467033,0.7013577740771516,0.7570159938348621,0.0
0.3,0.9,1.0,18,5.5165256835178695,6.5165256835178695,6.5165256835178695,0.939926701181834,0.6998275437895912,0.7555259297301552,0.0
0.3,0.9,1.0,19,5.357221554487182,6.357221554487182,6.357221554487182,0.9354629326341335,0.7010043916401888,0.7555883162117885,0.0
0.3,0.9,1.0,20,5.43606072290774,6.43606072290774,6.43606072290774,0.9377687045890988,0.7002560792760504,0.7554901129784299,0.0
0.3,0.9,4.0,0,4.123244863013696,8.123244863013696,8.123244863013696,0.9024322828313109,0.6071253134427073,0.6735152098134993,2.200418180109409e-05
0.3,0.9,4.0,1,4.279926586255179,8.27992658625518,8.27992658625518,0.9060504572213288,0.6042527374135842,0.6717255352268763,1.9018022840100457e-05
0.3,0.9,4.0,2,4.41582972774048,8.41582972774048,8.41582972774048,0.9099840611912592,0.603028655788544,0.6715895911324312,1.9063557829213096e-05
0.3,0.9,4.0,3,4.573948984411906,8.573948984411906,8.573948984411906,0.9147868454446554,0.6023425669869307,0.6719881528419265,1.8822129277396016e-05
0.3,0.9,4.0,4,4.6406970895922655,8.640697089592265,8.640697089592265,0.9167497261855015,0.6033019301532487,0.6731722268049587,1.910432388285699e-05
0.3,0.9,4.0,5,4.634075882161653,8.634075882161653,8.634075882161653,0.9170586303822316,0.602958547860594,0.67287244354886,1.944972837009118e-05
