scene,method,readout,position_2d_nrmse,position_2d_nmae,reference_x_nmae,reference_y_nmae,reference_x_p95,reference_y_p95,motion_2d_nmae,motion_magnitude_2d_nmae,trajectory_2d_nmae,direction_error_radians,direction_count,direction_zero_predictions,matched_steps,minimum_motion
crowding_seed1,TMTM,initial_y_oracle,0.025050058721133535,0.02208633789883793,0.031219546410656083,0.0005404644828505822,0.061539495429266,0.001511170203842426,0.00215397262134102,0.0019344829543647744,0.02178507877604918,1.9505809407999368,55,13,60,0.12
crowding_seed1,ST-MTM,initial_y_oracle,0.13146610367785116,0.11341803457517785,0.16039100758066044,0.0005404644828505822,0.2800916501947363,0.001511170203842426,0.002162461262201286,0.0018457614682367064,0.022128676207003473,2.1184197576086987,55,22,60,0.12
crowding_seed1,X-only RA-MTM,initial_y_oracle,0.005011343584497915,0.004547279876831711,0.0063506432448485976,0.0005404644828505822,0.008742043784240507,0.001511170203842426,0.0005232668287372796,0.0002228617225435169,0.000514876794670113,0.2176050173604316,55,0,60,0.12
crowding_seed1,Dual-Reference RA-MTM,dual_native,0.005508996221704023,0.004927436741426877,0.0063506432448485976,0.002671249529406981,0.008742043784240507,0.005249417129698663,0.00028963257825002307,0.00021627004628421508,0.0009779746176251747,0.08212188966240441,55,0,60,0.12
crowding_seed2,TMTM,initial_y_oracle,0.025963327148550378,0.022462214777535648,0.03174994662991287,0.0006305626634173772,0.06567135296309949,0.0019093632933983424,0.002151360731723325,0.0018060009533376847,0.021258453027518612,1.6637286710569341,54,4,60,0.12
crowding_seed2,ST-MTM,initial_y_oracle,0.13496159397046287,0.11922743622347591,0.1686106537429846,0.0006305626634173772,0.2775681106696181,0.0019093632933983424,0.0021419081705858697,0.0018069992629689978,0.021469593470597473,2.1451587255806013,54,23,60,0.12
crowding_seed2,X-only RA-MTM,initial_y_oracle,0.005919303595180908,0.005917990886515782,0.008327969902584723,0.0006305626634173772,0.008552887038954548,0.0019093632933983424,0.0004348473209229694,0.0001244377331048484,0.0004927018110579284,0.2208242582561582,54,0,60,0.12
crowding_seed2,Dual-Reference RA-MTM,dual_native,0.006461504073778406,0.006441904741385782,0.008327969902584723,0.00323661097218977,0.008552887038954548,0.00624546014228764,0.00020713189776711195,0.00011780796980918247,0.0010639222367798018,0.07662062740431058,54,0,60,0.12
crowding_seed3,TMTM,initial_y_oracle,0.026325485285548872,0.02327536661973324,0.0328771923900442,0.0011031238480051814,0.06515609575620106,0.0019895186335403695,0.00218467980348321,0.0018828182819260633,0.02227558921627002,1.7652625188514346,58,10,60,0.12
crowding_seed3,ST-MTM,initial_y_oracle,0.13523936270848147,0.11819368663570405,0.16713905304336313,0.0011031238480051814,0.2835538765997371,0.0019895186335403695,0.0021805365288745894,0.0018587295321337914,0.022196841245780884,2.2681393755045836,58,28,60,0.12
crowding_seed3,X-only RA-MTM,initial_y_oracle,0.006167539567746798,0.005926605986892863,0.00824962726365583,0.0011031238480051814,0.013743500942145302,0.0019895186335403695,0.0006609100848658423,0.00036655037436436735,0.0013688840564682427,0.22869295543950405,58,0,60,0.12
crowding_seed3,Dual-Reference RA-MTM,dual_native,0.006600376896683679,0.006331020460565564,0.00824962726365583,0.003138452992145446,0.013743500942145302,0.005959196461594715,0.0004115345395906094,0.00033150828825607406,0.001552950080242546,0.09895059178165014,58,0,60,0.12
advection_diffusion_seed1,TMTM,initial_y_oracle,0.06888471343612307,0.06397330768719112,0.08943277205897229,0.009883734282014894,0.14521626176014338,0.018550810736416387,0.002303763512730426,0.0017998254720595207,0.02437927143119941,1.4966864916021794,79,11,80,0.12
advection_diffusion_seed1,ST-MTM,initial_y_oracle,0.08695848008924673,0.07403159536102327,0.10374384036965344,0.009883734282014894,0.22844591095465877,0.018550810736416387,0.00240254354928982,0.002109190098128507,0.02485828992745948,2.4447043237364,79,46,80,0.12
advection_diffusion_seed1,X-only RA-MTM,initial_y_oracle,0.010110097096498792,0.009654391717558313,0.008343840592092235,0.009883734282014894,0.008570053696481023,0.018550810736416387,0.00073954133225103,0.00020181731050154624,0.007343471379928632,0.3121174774640471,79,0,80,0.12
advection_diffusion_seed1,Dual-Reference RA-MTM,dual_native,0.07099796259930878,0.05508839707011349,0.008343840592092235,0.07728260553473716,0.008570053696481023,0.2466997743234906,0.029094796062362704,0.028313371302412925,0.0931377359258843,0.5284909908202984,79,0,80,0.12
advection_diffusion_seed2,TMTM,initial_y_oracle,0.17358535362580224,0.15590330750903972,0.22010471741673496,0.010075684591398225,0.41253430217248127,0.01957960541200383,0.002389552938150542,0.001882916391238687,0.02439865664182024,1.4342941321213496,80,3,80,0.12
advection_diffusion_seed2,ST-MTM,initial_y_oracle,0.08635765497690953,0.07744440723175901,0.10799999364002584,0.010075684591398225,0.1716635316448217,0.01957960541200383,0.0024985052801905798,0.0021490911837345646,0.025876598986031542,2.3612145832263103,80,41,80,0.12
