scene,t,axis,tau,budget,achieved,global_gap
translation_growth,8,x,0.0,1.0,1.0,6.2375631941336e-05
translation_growth,9,x,0.0,1.0,1.0,6.284729681738099e-05
translation_growth,10,x,0.0,1.0,1.0,7.342742823368553e-05
translation_growth,11,x,0.0,1.0,1.0,8.513942501053862e-05
translation_growth,12,x,0.0,1.0,1.0,8.735829911188375e-05
translation_growth,13,x,0.0,1.0,1.0,8.454327247875426e-05
translation_growth,14,x,0.0,1.0,1.0,9.852293729295525e-05
translation_growth,15,x,0.0,1.0,1.0,0.0001070745944389273
translation_growth,16,x,0.0,1.0,1.0,0.00011859912910949788
translation_growth,17,x,0.0,1.0,1.0,0.00011644895678841749
translation_growth,18,x,0.0,1.0,1.0,0.00012532528046449443
translation_growth,19,x,0.0,1.0,1.0,0.00013512764235201757
