scene,method,calibration,t,feature,q,x,reference_error,initial_error,cumulative_motion_error
translation_growth,ST-MTM,native,18,2,95.17433234421365,95.19629123073743,0.021958886523776755,8.32705393186184,-8.305095045338064
translation_growth,ST-MTM,native,19,0,30.9375,15.017433838812071,-15.920066161187929,-3.6049845569439007,-12.315081604244028
translation_growth,ST-MTM,native,19,1,69.89466292134831,52.59454925611513,-17.300113665233184,-4.722069374917922,-12.578044290315262
translation_growth,ST-MTM,native,19,2,96.03429203539822,95.52456498754987,-0.509727047848358,8.32705393186184,-8.836780979710198
translation_growth,ST-MTM,native,20,0,31.03102189781022,14.500901822746437,-16.530120075063785,-3.6049845569439007,-12.925135518119884
translation_growth,ST-MTM,native,20,1,70.58552631578948,52.579626218198634,-18.005900097590846,-4.722069374917922,-13.283830722672924
translation_growth,ST-MTM,native,20,2,97.05255681818181,96.056020041532,-0.996536776649819,8.32705393186184,-9.32359070851166
translation_growth,ST-MTM,first_frame_affine,0,0,27.361425339366516,29.734924821827917,2.3734994824614013,2.3734994824614013,0.0
translation_growth,ST-MTM,first_frame_affine,0,1,57.67451298701299,53.23092412353715,-4.4435888634758385,-4.4435888634758385,0.0
translation_growth,ST-MTM,first_frame_affine,0,2,78.10060975609755,80.17069913711202,2.070089381014469,2.070089381014469,0.0
translation_growth,ST-MTM,first_frame_affine,1,0,27.62079831932773,29.301527970379283,1.6807296510515535,2.3734994824614013,-0.6927698314098478
translation_growth,ST-MTM,first_frame_affine,1,1,58.5234375,53.2267867607668,-5.2966507392332005,-4.4435888634758385,-0.853061875757362
translation_growth,ST-MTM,first_frame_affine,1,2,79.30889423076923,80.60823335133097,1.29933912056174,2.070089381014469,-0.7707502604527292
translation_growth,ST-MTM,first_frame_affine,2,0,27.636186770428015,28.943731189107154,1.3075444186791394,2.3734994824614013,-1.065955063782262
translation_growth,ST-MTM,first_frame_affine,2,1,59.0625,53.230202198590376,-5.832297801409624,-4.4435888634758385,-1.3887089379337851
translation_growth,ST-MTM,first_frame_affine,2,2,79.92613636363636,80.96261469477955,1.0364783311431864,2.070089381014469,-1.0336110498712827
translation_growth,ST-MTM,first_frame_affine,3,0,27.629310344827587,28.54745053468025,0.9181401898526644,2.3734994824614013,-1.4553592926087369
translation_growth,ST-MTM,first_frame_affine,3,1,59.62923728813559,53.229429103234565,-6.399808184901026,-4.4435888634758385,-1.9562193214251877
translation_growth,ST-MTM,first_frame_affine,3,2,80.89285714285714,81.35966844456226,0.4668113017051212,2.070089381014469,-1.603278079309348
translation_growth,ST-MTM,first_frame_affine,4,0,27.921511627906977,28.14977727799976,0.22826565009278355,2.3734994824614013,-2.1452338323686178
translation_growth,ST-MTM,first_frame_affine,4,1,60.30894886363637,53.177185028679844,-7.131763834956523,-4.4435888634758385,-2.6881749714806844
translation_growth,ST-MTM,first_frame_affine,4,2,82.16720779220779,81.80958577579747,-0.35762201641031766,2.070089381014469,-2.427711397424787
translation_growth,ST-MTM,first_frame_affine,5,0,28.21768060836502,27.859716431066488,-0.3579641772985305,2.3734994824614013,-2.7314636597599318
translation_growth,ST-MTM,first_frame_affine,5,1,60.858050847457626,53.132564473135574,-7.7254863743220525,-4.4435888634758385,-3.281897510846214
translation_growth,ST-MTM,first_frame_affine,5,2,82.76107594936708,82.14426717827502,-0.6168087710920673,2.070089381014469,-2.6868981521065365
translation_growth,ST-MTM,first_frame_affine,6,0,28.401315789473685,27.501598180542203,-0.899717608931482,2.3734994824614013,-3.2732170913928833
translation_growth,ST-MTM,first_frame_affine,6,1,61.54934210526316,53.167735018507216,-8.381607086755942,-4.4435888634758385,-3.9380182232801033
translation_growth,ST-MTM,first_frame_affine,6,2,83.7399193548387,82.46721488342766,-1.2727044714110463,2.070089381014469,-3.3427938524255154
translation_growth,ST-MTM,first_frame_affine,7,0,28.45218120805369,27.04534850878092,-1.4068326992727727,2.3734994824614013,-3.780332181734174
translation_growth,ST-MTM,first_frame_affine,7,1,62.29779411764706,53.22034113743351,-9.07745298021355,-4.4435888634758385,-4.633864116737712
translation_growth,ST-MTM,first_frame_affine,7,2,84.76058467741936,82.87085843626264,-1.8897262411567226,2.070089381014469,-3.9598156221711918
translation_growth,ST-MTM,first_frame_affine,8,0,28.70291095890411,26.73668989173686,-1.9662210671672504,2.3734994824614013,-4.339720549628652
translation_growth,ST-MTM,first_frame_affine,8,1,62.8125,53.13258664455742,-9.67991335544258,-4.4435888634758385,-5.236324491966741
translation_growth,ST-MTM,first_frame_affine,8,2,85.56225868725869,83.2672715461828,-2.294987141075893,2.070089381014469,-4.365076522090362
translation_growth,ST-MTM,first_frame_affine,9,0,28.88651877133106,26.319273679897748,-2.5672450914333105,2.3734994824614013,-4.940744573894712
translation_growth,ST-MTM,first_frame_affine,9,1,63.390151515151516,53.030585844933796,-10.35956567021772,-4.4435888634758385,-5.915976806741881
translation_growth,ST-MTM,first_frame_affine,9,2,86.79389312977099,83.7866885576455,-3.007204572125488,2.070089381014469,-5.077293953139957
translation_growth,ST-MTM,first_frame_affine,10,0,29.23076923076923,25.983492520619023,-3.2472767101502065,2.3734994824614013,-5.620776192611608
translation_growth,ST-MTM,first_frame_affine,10,1,64.28571428571429,53.098599931015514,-11.187114354698778,-4.4435888634758385,-6.74352549122294
translation_growth,ST-MTM,first_frame_affine,10,2,87.61488970588235,84.05445563084254,-3.560434075039808,2.070089381014469,-5.630523456054277
translation_growth,ST-MTM,first_frame_affine,11,0,29.0625,25.53811482918212,-3.5243851708178795,2.3734994824614013,-5.897884653279281
translation_growth,ST-MTM,first_frame_affine,11,1,64.88810043668123,53.22361174667991,-11.66448869000132,-4.4435888634758385,-7.220899826525482
translation_growth,ST-MTM,first_frame_affine,11,2,88.3899456521739,84.37482150661504,-4.015124145558872,2.070089381014469,-6.085213526573341
translation_growth,ST-MTM,first_frame_affine,12,0,29.35030395136778,25.138300438117454,-4.212003513250327,2.3734994824614013,-6.585502995711728
translation_growth,ST-MTM,first_frame_affine,12,1,65.46052631578948,53.06510390077385,-12.39542241501563,-4.4435888634758385,-7.951833551539792
translation_growth,ST-MTM,first_frame_affine,12,2,89.68641114982579,84.93314374358576,-4.7532674062400275,2.070089381014469,-6.823356787254497
translation_growth,ST-MTM,first_frame_affine,13,0,29.666411042944784,24.93149145143491,-4.734919591509875,2.3734994824614013,-7.108419073971277
translation_growth,ST-MTM,first_frame_affine,13,1,65.97813901345292,53.05453610345276,-12.923602910000156,-4.4435888634758385,-8.480014046524317
translation_growth,ST-MTM,first_frame_affine,13,2,90.16810344827586,85.15052052758938,-5.017582920686479,2.070089381014469,-7.087672301700948
translation_growth,ST-MTM,first_frame_affine,14,0,29.891304347826086,24.504881669966892,-5.386422677859194,2.3734994824614013,-7.7599221603205955
translation_growth,ST-MTM,first_frame_affine,14,1,66.73853711790393,53.09338013162915,-13.645156986274785,-4.4435888634758385,-9.201568122798946
translation_growth,ST-MTM,first_frame_affine,14,2,91.4217715231788,85.53828628088104,-5.883485242297766,2.070089381014469,-7.953574623312235
translation_growth,ST-MTM,first_frame_affine,15,0,30.125,24.17364030305602,-5.951359696943982,2.3734994824614013,-8.324859179405383
translation_growth,ST-MTM,first_frame_affine,15,1,67.394578313253,53.0374704241096,-14.357107889143407,-4.4435888634758385,-9.913519025667568
translation_growth,ST-MTM,first_frame_affine,15,2,92.22426470588235,85.92543735531146,-6.298827350570889,2.070089381014469,-8.368916731585358
translation_growth,ST-MTM,first_frame_affine,16,0,30.147357723577237,23.723339756515543,-6.424017967061694,2.3734994824614013,-8.797517449523095
translation_growth,ST-MTM,first_frame_affine,16,1,68.06617647058823,53.03702484160763,-15.0291516289806,-4.4435888634758385,-10.585562765504761
translation_growth,ST-MTM,first_frame_affine,16,2,93.29296875,86.37618348435387,-6.916785265646126,2.070089381014469,-8.986874646660596
translation_growth,ST-MTM,first_frame_affine,17,0,30.388283378746593,23.399163297454095,-6.989120081292498,2.3734994824614013,-9.3626195637539
translation_growth,ST-MTM,first_frame_affine,17,1,68.5,52.93620917395468,-15.56379082604532,-4.4435888634758385,-11.120201962569482
translation_growth,ST-MTM,first_frame_affine,17,2,94.306640625,86.80117561106829,-7.505465013931712,2.070089381014469,-9.575554394946181
translation_growth,ST-MTM,first_frame_affine,18,0,30.553523936170212,22.99866192018999,-7.554862015980223,2.3734994824614013,-9.928361498441625
translation_growth,ST-MTM,first_frame_affine,18,1,69.20588235294117,52.91047902908352,-16.295403323857656,-4.4435888634758385,-11.851814460381817
translation_growth,ST-MTM,first_frame_affine,18,2,95.17433234421365,87.22740713320357,-7.9469252110100825,2.070089381014469,-10.017014592024552
translation_growth,ST-MTM,first_frame_affine,19,0,30.9375,22.702054526445465,-8.235445473554535,2.3734994824614013,-10.608944956015936
translation_growth,ST-MTM,first_frame_affine,19,1,69.89466292134831,52.942902314961216,-16.951760606387097,-4.4435888634758385,-12.508171742911259
translation_growth,ST-MTM,first_frame_affine,19,2,96.03429203539822,87.49159124107041,-8.542700794327814,2.070089381014469,-10.612790175342283
translation_growth,ST-MTM,first_frame_affine,20,0,31.03102189781022,22.286366257075443,-8.744655640734777,2.3734994824614013,-11.118155123196178
