t,order,kkt,relaxed_kkt,raw_sse,relaxed_sns_bound
21,"(2, 0, 3, 1, 4)",1.8520412160163014e-16,7.408164864065206e-16,7643.924701055015,0.20342392203298967
21,"(2, 0, 3, 4, 1)",4.630103040040754e-16,7.408164864065206e-16,8389.35111225756,0.22326158005346555
21,"(3, 0, 2, 1, 4)",3.704082432032603e-16,9.260206080081507e-17,8890.436838801694,0.23659672237299798
21,"(3, 0, 2, 4, 1)",9.260206080081508e-16,2.1704063252685355e-16,9635.863250004237,0.2564343803934738
21,"(3, 2, 0, 1, 4)",5.556123648048904e-16,5.093113344044828e-16,6988.449470825285,0.18598008953285985
21,"(3, 2, 0, 4, 1)",1.389030912012226e-15,5.556123648048904e-16,7733.875882027831,0.20581774755333576
21,"(4, 1, 0, 2, 3)",1.8520412160163014e-16,5.556123648048904e-16,6988.449470825286,0.18598008953285988
21,"(4, 1, 2, 0, 3)",4.630103040040754e-16,8.334185472073356e-16,8890.436838801692,0.23659672237299798
21,"(4, 1, 3, 0, 2)",7.408164864065206e-16,2.1522859172787562e-16,7643.924701055016,0.20342392203298973
21,"(4, 1, 3, 2, 0)",6.482144256057055e-16,2.690357396598445e-16,7615.6833200952415,0.20267234837114134
22,"(0, 2, 3, 1, 4, 5)",4.083995611621077e-16,1.4769739915448526e-16,13187.891213948127,0.20840672465644935
22,"(0, 2, 3, 1, 5, 4)",3.2671964892968617e-16,4.900794733945292e-16,12803.037414179193,0.20232492442165498
22,"(1, 0, 2, 3, 4, 5)",5.309194295107399e-16,1.8786379813456954e-15,4922.813015549954,0.07779464662112276
22,"(1, 0, 2, 3, 5, 4)",9.801589467890584e-16,1.1435187712539016e-15,4537.959215781018,0.07171284638632835
22,"(1, 2, 0, 3, 4, 5)",3.6755960504589694e-16,7.351192100917939e-16,6827.946129206681,0.10790124560730567
22,"(1, 2, 0, 3, 5, 4)",8.167991223242154e-16,5.717593856269508e-16,6443.092329437746,0.10181944537251128
22,"(1, 3, 0, 2, 4, 5)",1.0618388590214799e-15,7.830580343616759e-17,17780.770048460443,0.2809874594468817
22,"(1, 3, 0, 2, 5, 4)",6.534392978593723e-16,4.900794733945292e-16,17395.91624869151,0.2749056592120873
22,"(1, 3, 2, 0, 4, 5)",1.9395085449733189e-16,8.167991223242154e-17,18386.850907650114,0.29056528540036636
22,"(1, 3, 2, 0, 5, 4)",1.2264953451270104e-16,1.6335982446484309e-16,18001.997107881172,0.2844834851655719
22,"(2, 0, 3, 1, 4, 5)",9.801589467890584e-16,4.083995611621077e-16,13211.310585025421,0.2087768182779808
22,"(2, 0, 3, 1, 5, 4)",3.2671964892968617e-16,4.900794733945292e-16,12826.456785256487,0.2026950180431864
22,"(3, 0, 2, 1, 4, 5)",5.717593856269508e-16,1.7152781568808523e-15,18006.391554512255,0.2845529300991253
22,"(3, 0, 2, 1, 5, 4)",1.993649076486726e-16,3.2671964892968617e-16,17621.53775474332,0.2784711298643309
22,"(3, 2, 0, 1, 4, 5)",4.083995611621077e-16,3.2671964892968617e-16,16730.75867112249,0.2643942506879586
22,"(3, 2, 0, 1, 5, 4)",4.900794733945292e-16,8.167991223242154e-16,16345.90487135356,0.25831245045316414
22,"(4, 5, 0, 2, 3, 1)",7.165835144917898e-16,4.083995611621077e-16,18001.997107881176,0.28448348516557204
22,"(4, 5, 1, 0, 2, 3)",1.6335982446484308e-15,1.1435187712539016e-15,16345.904871353556,0.25831245045316414
22,"(4, 5, 1, 2, 0, 3)",6.942792539755831e-16,5.717593856269508e-16,17621.53775474332,0.2784711298643309
22,"(4, 5, 1, 3, 0, 2)",1.1026788151376908e-15,8.167991223242154e-16,12826.456785256487,0.20269501804318643
22,"(4, 5, 1, 3, 2, 0)",1.6335982446484308e-15,1.3068785957187447e-15,12803.037414179194,0.20232492442165498
22,"(4, 5, 2, 0, 3, 1)",1.3068785957187447e-15,7.351192100917939e-16,17395.916248691505,0.2749056592120873
22,"(4, 5, 3, 0, 2, 1)",6.534392978593723e-16,1.0005789248471639e-15,6443.092329437744,0.10181944537251128
22,"(4, 5, 3, 2, 0, 1)",8.984790345566368e-16,8.984790345566368e-16,4537.959215781019,0.07171284638632835
22,"(5, 4, 0, 2, 3, 1)",6.534392978593723e-16,4.900794733945292e-16,18386.850907650114,0.29056528540036636
22,"(5, 4, 1, 0, 2, 3)",1.3068785957187447e-15,8.983143515751914e-17,16730.758671122494,0.2643942506879585
22,"(5, 4, 1, 2, 0, 3)",4.083995611621077e-16,1.3068785957187447e-15,18006.391554512255,0.2845529300991253
22,"(5, 4, 1, 3, 0, 2)",8.576390784404262e-16,6.534392978593723e-16,13211.310585025421,0.2087768182779808
22,"(5, 4, 1, 3, 2, 0)",5.717593856269508e-16,5.169408970406993e-16,13187.891213948127,0.20840672465644935
22,"(5, 4, 2, 0, 3, 1)",1.1435187712539016e-15,9.801589467890584e-16,17780.770048460443,0.28098745944688175
22,"(5, 4, 3, 0, 2, 1)",9.801589467890584e-16,6.534392978593723e-16,6827.946129206681,0.10790124560730567
22,"(5, 4, 3, 2, 0, 1)",7.351192100917939e-16,8.984790345566368e-16,4922.813015549955,0.07779464662112277
23,"(0, 1, 2, 3, 4, 5, 6)",1.7152781568808523e-15,1.0209989029052692e-15,10248.867865620387,0.11724091578094868
23,"(0, 1, 2, 3, 4, 6, 5)",1.8377980252294847e-15,3.1038366648320186e-15,9428.798357354033,0.10785981131030775
23,"(0, 1, 2, 3, 5, 6, 4)",1.7969580691132737e-15,4.083995611621077e-15,12104.899789957388,0.13847281040395296
23,"(0, 1, 2, 3, 6, 5, 4)",1.2251986834863232e-15,1.1843587273701123e-15,12327.462595642304,0.14101879572637158
23,"(1, 0, 2, 3, 4, 5, 6)",8.984790345566368e-16,7.881580052805066e-16,11061.401749181925,0.1265358172140485
23,"(1, 0, 2, 3, 4, 6, 5)",1.8786379813456954e-15,2.8587969281347538e-15,10241.332240915572,0.11715471274340762
23,"(1, 0, 2, 3, 5, 6, 4)",2.164517674159171e-15,2.2053576302753815e-15,12917.433673518924,0.14776771183705278
23,"(1, 0, 2, 3, 6, 5, 4)",2.0419978058105385e-15,1.2859420086155645e-15,13139.996479203846,0.1503136971594714
23,"(2, 0, 1, 3, 4, 5, 6)",1.7969580691132737e-15,1.1093065134839086e-15,7844.502587238696,0.08973641569318982
23,"(2, 0, 1, 3, 4, 6, 5)",1.7152781568808523e-15,4.492395172783184e-16,7024.433078972341,0.0803553112225489
23,"(2, 0, 1, 3, 5, 6, 4)",1.4702384201835877e-15,1.6335982446484308e-15,9700.534511575697,0.11096831031619407
23,"(2, 0, 1, 3, 6, 5, 4)",6.217923974103936e-16,1.9603178935781167e-15,9923.097317260615,0.11351429563861265
